Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;T_37.8°C;T_93.3°C;T_148.9°C;T_204.4°C;T_260.0°C;T_315.6°C;T_343.3°C;T_371.1°C;T_398.9°C;T_426.7°C;T_454.4°C;T_482.2°C;T_510.0°C;T_537.8°C;T_565.6°C;T_593.3°C;T_621.1°C;T_648.9°C;T_676.7°C;T_704.4°C;T_732.2°C;T_760.0°C;T_787.8°C;T_815.6°C
57;EFW -ASTM A691 Gr.CM70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;144.58;144.58;144.58;139.62;134.65;129.69;127.21;124.73;108.59;108.59;106.11;85.01;50.88;29.79;24.82;14.89;;;;;;;;
58;EFW -ASTM A691 Gr.CM70 Cl.22 (E=1);B31.3-2002;1;5;160.65;160.65;160.65;155.13;149.62;144.1;141.34;138.58;120.66;120.66;117.9;94.46;56.54;33.09;27.58;16.55;;;;;;;;
59;EFW -ASTM A691 Gr.0.5Cr Cl.22 (E=1);B31.3-2002;1;5;126.17;126.17;126.17;126.17;123.42;119.28;116.52;114.45;95.15;95.15;92.39;88.25;63.43;40.68;;;;;;;;;;
60;EFW -ASTM A691 Gr.1Cr Cl.23 (E=0.85);B31.3-2002;1;5;107.25;107.25;107.25;107.25;104.9;101.39;99.04;97.29;95.53;93.18;90.25;82.05;66.22;42.2;26.37;16.41;10.55;6.45;;;;;;
61;EFW -ASTM A691 Gr.1Cr Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;113.56;113.56;113.56;113.56;111.07;107.35;104.87;103.01;101.15;98.66;95.56;86.87;70.12;44.68;27.92;17.37;11.17;6.83;;;;;;
62;EFW -ASTM A691 Gr.1Cr Cl.22 (E=1);B31.3-2002;1;5;126.17;126.17;126.17;126.17;123.42;119.28;116.52;114.45;112.38;109.63;106.18;96.53;77.91;49.64;31.03;19.31;12.41;7.58;;;;;;
63;EFW -ASTM A691 Gr.1.25Cr Cl.23 (E=0.85);B31.3-2002;1;5;117.21;117.21;117.21;115.45;110.76;107.25;105.49;103.15;101.39;98.46;95.53;87.91;58.02;36.92;24.61;16.41;11.14;7.03;;;;;;
64;EFW -ASTM A691 Gr.1.25Cr Cl.22+TB 5451(E=0.9);B31.3-2002;1;5;124.11;124.11;124.11;122.24;117.28;113.56;111.7;109.21;107.35;104.25;101.15;93.08;61.43;39.09;26.06;17.37;11.79;7.45;;;;;;
65;EFW -ASTM A691 Gr.1.25Cr Cl.22 (E=1);B31.3-2002;1;5;137.9;137.9;137.9;135.83;130.31;126.17;124.11;121.35;119.28;115.83;112.38;103.42;68.26;43.44;28.96;19.31;13.1;8.27;;;;;;
66;EFW -ASTM A691 Gr.2.25Cr Cl.23 (E=0.85);B31.3-2002;1;5;117.21;108.42;105.49;104.9;104.9;104.9;104.9;104.9;104.9;104.32;84.98;75.01;63.29;45.71;29.89;18.75;11.72;9.38;;;;;;
67;EFW -ASTM A691 Gr.2.25Cr Cl.22+TB 5451(E=0.9);B31.3-2002;1;5;124.11;114.8;111.7;111.07;111.07;111.07;111.07;111.07;111.07;110.45;89.98;79.43;67.02;48.4;31.65;19.86;12.41;9.93;;;;;;
68;EFW -ASTM A691 Gr.2.25Cr Cl.22 (E=1);B31.3-2002;1;5;137.9;127.55;124.11;123.42;123.42;123.42;123.42;123.42;123.42;122.73;99.97;88.25;74.46;53.78;35.16;22.06;13.79;11.03;;;;;;
69;EFW -ASTM A691 Gr.5Cr Cl.23 (E=0.85);B31.3-2002;1;5;117.21;106.08;101.97;100.8;100.22;98.46;97.29;95.53;77.36;75.01;70.91;63.88;46.88;33.99;24.61;16.41;11.72;7.62;;;;;;
70;EFW -ASTM A691 Gr.5Cr Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;124.11;112.32;107.97;106.73;106.11;104.25;103.01;101.15;81.91;79.43;75.08;67.64;49.64;35.99;26.06;17.37;12.41;8.07;;;;;;
71;EFW -ASTM A691 Gr.5Cr Cl.22 (E=1);B31.3-2002;1;5;137.9;124.8;119.97;118.59;117.9;115.83;114.45;112.38;91.01;88.25;83.43;75.15;55.16;39.99;28.96;19.31;13.79;8.96;;;;;;
72;SMLS-ASTM A312 TP304;B31.3-2002;2;1;137.9;137.9;137.9;128.93;120.66;113.07;111.7;110.32;107.56;104.8;102.73;100.66;99.28;95.15;84.12;66.88;53.09;41.37;32.41;25.51;19.99;15.86;12.41;9.65
73;SMLS-ASTM A312 TP304H;B31.3-2002;2;1;137.9;137.9;137.9;128.93;120.66;113.07;111.7;110.32;107.56;104.8;102.73;100.66;99.28;95.15;84.12;66.88;53.09;41.37;32.41;25.51;19.99;15.86;12.41;9.65
74;SMLS-ASTM A312 TP304L;B31.3-2002;2;1;115.14;115.14;115.14;108.94;102.04;96.53;94.46;93.08;91.7;89.63;88.25;82.05;68.26;53.78;43.44;35.16;27.58;22.06;17.93;14.48;11.72;7.58;6.89;6.21
75;SMLS-ASTM A312 TP316;B31.3-2002;2;1;137.9;137.9;137.9;133.07;123.42;117.21;115.14;112.38;111.01;109.63;108.25;106.87;106.18;105.49;99.97;85.5;67.57;51.02;37.92;28.27;21.37;15.86;11.72;8.96
76;SMLS-ASTM A312 TP316H;B31.3-2002;2;1;137.9;137.9;137.9;133.07;123.42;117.21;115.14;112.38;111.01;109.63;108.25;106.87;106.18;105.49;99.97;85.5;67.57;51.02;37.92;28.27;21.37;15.86;11.72;8.96
77;SMLS-ASTM A312 TP316L;B31.3-2002;2;1;115.14;115.14;115.14;106.87;99.28;93.08;91.01;88.94;86.87;85.5;83.43;81.36;79.29;77.22;74.46;70.33;60.67;44.13;32.41;24.13;17.24;12.41;8.96;6.89
78;"SMLS-ASTM A312 TP321(THK.<=3/8"")";B31.3-2002;2;1;137.9;137.9;137.9;137.9;133.07;126.17;123.42;120.66;118.59;116.52;115.14;114.45;113.07;111.7;66.19;47.57;34.47;24.82;17.93;11.72;7.58;5.52;3.45;2.07
79;"SMLS-ASTM A312 TP321H (THK.<=3/8"")";B31.3-2002;2;1;137.9;137.9;137.9;137.9;133.07;126.17;123.42;120.66;118.59;116.52;115.14;114.45;113.07;111.7;80.67;62.74;47.57;37.23;28.27;22.06;17.24;13.1;10.34;7.58
80;SMLS-ASTM A312 TP347;B31.3-2002;2;1;137.9;137.9;137.9;137.9;137.21;133.07;131.0;128.24;127.55;126.86;125.48;124.8;124.8;124.11;83.43;62.74;42.06;30.34;22.75;15.17;10.34;8.27;6.21;5.52
81;SMLS-ASTM A312 TP347H;B31.3-2002;2;1;137.9;137.9;137.9;137.9;137.21;133.07;131.0;128.24;127.55;126.86;125.48;124.8;124.8;124.11;117.9;97.91;72.39;54.47;40.68;30.34;22.06;17.24;12.41;8.96
82;EFW -ASTM A312 TP304  (E=0.8);B31.3-2002;2;1;110.32;110.32;110.32;103.15;96.53;90.46;89.36;88.25;86.05;83.84;82.19;80.53;79.43;76.12;67.29;53.5;42.47;33.09;25.92;20.41;16.0;12.69;9.93;7.72
83;EFW -ASTM A312 TP304L (E=0.8);B31.3-2002;2;1;92.11;92.11;92.11;87.15;81.63;77.22;75.57;74.46;73.36;71.71;70.6;65.64;54.61;43.02;34.75;28.13;22.06;17.65;14.34;11.58;9.38;6.07;5.52;4.96
84;EFW -ASTM A358 Gr.304  Cl.2 (E=0.85);B31.3-2002;2;5;117.21;117.21;117.21;109.59;102.56;96.11;94.94;93.77;91.42;89.08;87.32;85.56;84.39;80.88;71.5;56.85;45.13;35.16;27.54;21.68;17.0;13.48;10.55;8.2
85;EFW -ASTM A358 Gr.316  Cl.2 (E=0.85);B31.3-2002;2;5;117.21;117.21;117.21;113.11;104.9;99.63;97.87;95.53;94.35;93.18;92.01;90.84;90.25;89.67;84.98;72.67;57.43;43.37;32.23;24.03;18.17;13.48;9.96;7.62
86;EFW -ASTM A358 Gr.304  Cl.5 (E=0.9);B31.3-2002;2;5;124.11;124.11;124.11;116.04;108.59;101.77;100.53;99.28;96.8;94.32;92.46;90.6;89.36;85.63;75.7;60.19;47.78;37.23;29.16;22.96;18.0;14.27;11.17;8.69
87;EFW -ASTM A358 Gr.304L Cl.5 (E=0.9);B31.3-2002;2;5;103.63;103.63;103.63;98.04;91.84;86.87;85.01;83.77;82.53;80.67;79.43;73.84;61.43;48.4;39.09;31.65;24.82;19.86;16.13;13.03;10.55;6.83;6.21;5.58
88;EFW -ASTM A358 Gr.316  Cl.5 (E=0.9);B31.3-2002;2;5;124.11;124.11;124.11;119.76;111.07;105.49;103.63;101.15;99.91;98.66;97.42;96.18;95.56;94.94;89.98;76.95;60.81;45.92;34.13;25.44;19.24;14.27;10.55;8.07
89;EFW -ASTM A358 Gr.316L Cl.5 (E=0.9);B31.3-2002;2;5;103.63;103.63;103.63;96.18;89.36;83.77;81.91;80.05;78.19;76.95;75.08;73.22;71.36;69.5;67.02;63.29;54.61;39.71;29.16;21.72;15.51;11.17;8.07;6.21
90;EFW -ASTM A358 Gr.321  Cl.5 (E=0.9);B31.3-2002;2;5;124.11;124.11;124.11;124.11;119.76;113.56;111.07;108.59;106.73;104.87;103.63;103.01;101.77;100.53;59.57;42.82;31.03;22.34;16.13;10.55;6.83;4.96;3.1;1.86
91;EFW -ASTM A358 Gr.304  Cl.1/3/4 (E=1);B31.3-2002;2;5;137.9;137.9;137.9;128.93;120.66;113.07;111.7;110.32;107.56;104.8;102.73;100.66;99.28;95.15;84.12;66.88;53.09;41.37;32.41;25.51;19.99;15.86;12.41;9.65
92;EFW -ASTM A358 Gr.304L Cl.1/3/4 (E=1);B31.3-2002;2;5;115.14;115.14;115.14;108.94;102.04;96.53;94.46;93.08;91.7;89.63;88.25;82.05;68.26;53.78;43.44;35.16;27.58;22.06;17.93;14.48;11.72;7.58;6.89;6.21
93;EFW -ASTM A358 Gr.316  Cl.1/3/4 (E=1);B31.3-2002;2;5;137.9;137.9;137.9;133.07;123.42;117.21;115.14;112.38;111.01;109.63;108.25;106.87;106.18;105.49;99.97;85.5;67.57;51.02;37.92;28.27;21.37;15.86;11.72;8.96
94;EFW -ASTM A358 Gr.316L Cl.1/3/4 (E=1);B31.3-2002;2;5;115.14;115.14;115.14;106.87;99.28;93.08;91.01;88.94;86.87;85.5;83.43;81.36;79.29;77.22;74.46;70.33;60.67;44.13;32.41;24.13;17.24;12.41;8.96;6.89
95;EFW -ASTM A358 GR.321  CL.1/3/4 (E=1);B31.3-2002;2;5;137.9;137.9;137.9;137.9;133.07;126.17;123.42;120.66;118.59;116.52;115.14;114.45;113.07;111.7;66.19;47.57;34.47;24.82;17.93;11.72;7.58;5.52;3.45;2.07
96;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(>5"" O.D.)";B31.3-2002;2;1;115.14;101.35;94.46;91.01;91.01;91.01;91.01;91.01;89.63;87.56;81.36;55.16;;;;;;;;;;;;
97;"SMLS-ASTM B167 Gr.600 (N06600)H.F.(< 5"" O.D.)";B31.3-2002;2;1;137.9;137.9;137.9;137.9;137.9;137.9;137.9;137.9;137.9;137.9;135.14;110.32;73.08;48.26;31.03;20.68;15.17;13.79;;;;;;
98;"SMLS-ASTM B167 Gr.600 (N06600)H.F.(>5"" O.D.)";B31.3-2002;2;1;115.14;115.14;115.14;115.14;115.14;115.14;115.14;115.14;115.14;115.14;113.76;109.63;109.63;48.26;31.03;20.68;15.17;13.79;;;;;;
99;SMLS-ASTM B407 Gr.800 (N08800) H.F.;B31.3-2002;2;1;115.14;115.14;115.14;108.94;102.73;100.66;99.28;98.6;97.91;96.53;91.01;90.32;88.94;88.25;87.56;87.56;68.95;48.26;41.37;31.72;24.82;19.31;14.48;11.72
100;SMLS-PIPE SB-677 N08904 ASME SECT.II-PART D -;1998;2;1;122.73;115.14;104.11;95.15;87.56;82.74;80.67;78.6;;;;;;;;;;;;;;;;
