Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;TempF;AllowPsi
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;200;19500
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;300;18900
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;400;18300
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;500;17300
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;600;15800
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;650;15500
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;700;15400
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;750;13000
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;800;10800
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;850;8700
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;900;6500
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;950;4500
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5;1000;2500
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;100;18000
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;200;17550
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;300;17010
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;400;16470
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;500;15570
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;600;14220
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;650;13950
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;700;13860
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;750;11700
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;800;9720
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;850;7830
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;900;5850
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;950;4050
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;1000;2250
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;100;19530
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;200;19170
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;300;18630
