id;TempF;R_150;R_300;R_400;R_600;R_900;R_1500;R_2500;R_4500
60;750;0;0;0;1105;0;0;0;0
60;800;0;0;0;1075;0;0;0;0
60;850;0;0;0;1055;0;0;0;0
60;900;0;0;0;1035;0;0;0;0
60;950;0;0;0;1020;0;0;0;0
60;1000;0;0;0;855;0;0;0;0
60;1050;0;0;0;820;0;0;0;0
60;1100;0;0;0;685;0;0;0;0
60;1150;0;0;0;530;0;0;0;0
60;1200;0;0;0;415;0;0;0;0
60;1250;0;0;0;300;0;0;0;0
60;1300;0;0;0;225;0;0;0;0
60;1350;0;0;0;165;0;0;0;0
60;1400;0;0;0;130;0;0;0;0
60;1450;0;0;0;95;0;0;0;0
60;1500;0;0;0;70;0;0;0;0
61;100;90;240;320;480;720;1200;2000;3600
61;200;85;230;305;455;685;1140;1900;3420
61;300;85;225;300;445;670;1115;1860;3350
61;400;85;215;290;430;650;1080;1800;3240
61;500;85;215;290;430;650;1080;1800;3240
61;600;85;215;290;430;650;1080;1800;3240
61;650;85;215;290;430;650;1080;1800;3240
61;700;85;215;290;430;650;1080;1800;3240
61;750;80;210;280;420;635;1055;1760;3170
61;800;80;205;270;410;610;1020;1700;3060
61;850;65;205;270;410;610;1020;1700;3060
61;900;50;140;185;280;415;695;1155;2085
61;950;35;115;150;230;345;570;950;1715
61;1000;20;95;125;185;280;465;770;1390
61;1050;0;75;100;150;220;370;615;1100
61;1100;0;60;80;125;185;310;515;925
61;1150;0;45;60;95;140;230;385;695
61;1200;0;35;50;75;110;185;310;555
62;100;105;270;355;535;805;1340;2230;4020
62;200;100;255;340;510;765;1270;2120;3815
62;300;95;250;330;500;745;1245;2075;3735
62;400;90;240;320;480;725;1205;2010;3615
62;500;90;240;320;480;725;1205;2010;3615
62;600;90;240;320;480;725;1205;2010;3615
62;650;90;240;320;480;725;1205;2010;3615
62;700;90;240;320;480;725;1205;2010;3615
62;750;90;235;315;470;705;1180;1965;3535
62;800;85;230;305;455;685;1140;1895;3415
62;850;85;230;305;455;685;1140;1895;3415
62;900;70;180;240;360;540;905;1505;2710
62;950;55;150;200;295;445;745;1240;2230
62;1000;45;120;160;240;360;605;1005;1810
62;1050;35;95;130;195;290;480;805;1445
62;1100;30;80;105;160;240;400;670;1205
62;1150;25;60;80;120;180;300;500;905
62;1200;20;50;65;95;145;240;400;725
63;100;290;750;1000;1500;2250;3750;6250;11250
63;200;260;750;1000;1500;2250;3750;6250;11250
63;300;230;680;905;1360;2040;3395;5660;10190
63;400;200;600;795;1195;1795;2990;4980;8965
63;500;170;575;770;1150;1730;2880;4800;8640
63;600;140;560;745;1120;1680;2795;4660;8390
63;650;125;560;745;1120;1680;2795;4660;8390
63;700;110;560;745;1120;1680;2795;4660;8390
63;750;95;530;710;1065;1595;2660;4430;7970
63;800;80;510;675;1015;1525;2540;4230;7610
63;850;65;485;650;975;1460;2435;4060;7305
63;900;50;450;600;900;1350;2245;3745;6740
63;950;35;385;515;775;1160;1930;3220;5795
63;1000;20;365;485;725;1090;1820;3030;5450
63;1050;0;360;480;720;1080;1800;3000;5400
63;1100;0;325;430;645;965;1610;2685;4835
63;1150;0;275;365;550;825;1370;2285;4115
63;1200;0;205;275;410;620;1030;1715;3085
63;1250;0;180;245;365;545;910;1515;2725
63;1300;0;140;185;275;410;685;1145;2060
63;1350;0;105;140;205;310;515;860;1545
63;1400;0;75;100;150;225;380;630;1130
63;1450;0;60;80;115;175;290;485;875
63;1500;0;40;55;85;125;205;345;620
64;100;290;750;1000;1500;2250;3750;6250;11250
64;200;290;750;1000;1500;2250;3750;6250;11250
64;300;290;750;1000;1500;2250;3750;6250;11250
64;400;255;665;890;1335;2000;3335;5560;10005
64;500;245;645;855;1285;1930;3215;5355;9645
64;600;240;625;830;1250;1870;3120;5200;9360
64;650;240;625;830;1250;1870;3120;5200;9360
64;700;240;625;830;1250;1870;3120;5200;9360
64;750;240;625;830;1250;1870;3120;5200;9360
64;800;240;625;830;1250;1870;3120;5200;9360
64;850;225;585;780;1175;1760;2935;4890;8800
